,0
0,0.7071067811865476
1,0.7071067811865476
2,0.7071067811865476
3,0.7071067811865476
4,0.7071067811865476
5,0.7071067811865476
6,0.7071067811865476
7,0.7071067811865476
8,0.7071067811865476
9,0.7071067811865476
10,0.7071067811865476
11,0.7071067811865476
12,0.7071067811865476
13,0.7071067811865476
14,0.7071067811865476
15,0.7071067811865476
16,0.7071067811865476
17,0.7071067811865476
18,0.7071067811865476
19,0.7071067811865476
20,0.7071067811865476
21,0.7071067811865476
22,0.7071067811865476
23,0.7071067811865476
24,0.7071067811865476
25,0.7071067811865476
26,0.7071067811865476
27,0.7071067811865476
28,0.7071067811865476
29,0.7071067811865476
30,0.7071067811865476
31,0.7071067811865476
32,0.7071067811865476
33,0.7071067811865476
34,0.7071067811865476
35,0.7071067811865476
36,0.7071067811865476
37,0.7071067811865476
38,0.7071067811865476
39,0.7071067811865476
40,0.7071067811865476
41,0.7071067811865476
42,0.7071067811865476
43,0.7071067811865476
44,0.7071067811865476
45,0.7071067811865476
46,0.7071067811865476
47,0.7071067811865476
48,0.7071067811865476
49,0.7071067811865476
50,0.7071067811865476
51,0.7071067811865476
52,0.7071067811865476
53,0.7071067811865476
54,0.7071067811865476
55,0.7071067811865476
56,0.7071067811865476
57,0.7071067811865476
